[NanoDet][08-25 19:47:19]INFO: Setting up data...
[NanoDet][08-25 19:47:19]INFO: Creating model...
[NanoDet][08-25 19:47:19]INFO: 使用 CPU 进行训练
[NanoDet][08-25 19:54:25]INFO: Train|Epoch30/300|Iter2900(1)| mem:0G| lr:7.00e-02| loss_qfl:0.9394| loss_bbox:0.7784| loss_dfl:0.3110| aux_loss_qfl:0.5173| aux_loss_bbox:1.1651| aux_loss_dfl:0.4031| loss_feat_kd:14.9617| loss_cls_kd:0.0000| loss_reg_kd:0.0807| 
[NanoDet][08-25 19:54:31]INFO: Train|Epoch30/300|Iter2950(51)| mem:0G| lr:7.00e-02| loss_qfl:1.0485| loss_bbox:0.7318| loss_dfl:0.3639| aux_loss_qfl:0.7258| aux_loss_bbox:1.0117| aux_loss_dfl:0.4001| loss_feat_kd:14.1026| loss_cls_kd:0.0000| loss_reg_kd:0.0816| 
[NanoDet][08-25 19:54:36]INFO: Val|Epoch30/300|Iter3000(1/13)| mem:0G| lr:7.00e-02| loss_qfl:1.2894| loss_bbox:0.6393| loss_dfl:0.3237| aux_loss_qfl:0.4572| aux_loss_bbox:1.1227| aux_loss_dfl:0.4111| 
[NanoDet][08-25 19:54:37]INFO: Val_metrics: {'mAP': 0, 'AP_50': 0, 'AP_75': 0, 'AP_small': 0, 'AP_m': 0, 'AP_l': 0}
[NanoDet][08-25 19:54:37]INFO: Train|Epoch31/300|Iter3000(1)| mem:0G| lr:7.00e-02| loss_qfl:1.0484| loss_bbox:0.7341| loss_dfl:0.3491| aux_loss_qfl:0.6409| aux_loss_bbox:1.0488| aux_loss_dfl:0.4039| loss_feat_kd:12.1463| loss_cls_kd:0.0000| loss_reg_kd:0.0812| 
[NanoDet][08-25 19:54:43]INFO: Train|Epoch31/300|Iter3050(51)| mem:0G| lr:7.00e-02| loss_qfl:1.0387| loss_bbox:0.7414| loss_dfl:0.3292| aux_loss_qfl:0.5411| aux_loss_bbox:1.0992| aux_loss_dfl:0.4045| loss_feat_kd:17.1891| loss_cls_kd:0.0000| loss_reg_kd:0.0874| 
[NanoDet][08-25 19:54:49]INFO: Train|Epoch32/300|Iter3100(1)| mem:0G| lr:7.00e-02| loss_qfl:0.9963| loss_bbox:0.7448| loss_dfl:0.3227| aux_loss_qfl:0.6749| aux_loss_bbox:1.0493| aux_loss_dfl:0.4001| loss_feat_kd:15.0521| loss_cls_kd:0.0000| loss_reg_kd:0.0814| 
[NanoDet][08-25 19:54:55]INFO: Train|Epoch32/300|Iter3150(51)| mem:0G| lr:7.00e-02| loss_qfl:0.8141| loss_bbox:0.8636| loss_dfl:0.3427| aux_loss_qfl:0.6913| aux_loss_bbox:1.1039| aux_loss_dfl:0.4033| loss_feat_kd:16.8986| loss_cls_kd:0.0000| loss_reg_kd:0.0771| 
[NanoDet][08-25 19:55:04]INFO: Train|Epoch33/300|Iter3200(1)| mem:0G| lr:7.00e-02| loss_qfl:1.2745| loss_bbox:0.6329| loss_dfl:0.3292| aux_loss_qfl:0.5720| aux_loss_bbox:1.0805| aux_loss_dfl:0.4057| loss_feat_kd:13.7596| loss_cls_kd:0.0000| loss_reg_kd:0.0759| 
[NanoDet][08-25 19:55:11]INFO: Train|Epoch33/300|Iter3250(51)| mem:0G| lr:7.00e-02| loss_qfl:1.2093| loss_bbox:0.6616| loss_dfl:0.3039| aux_loss_qfl:0.5956| aux_loss_bbox:1.0349| aux_loss_dfl:0.4049| loss_feat_kd:7.3322| loss_cls_kd:0.0000| loss_reg_kd:0.0735| 
[NanoDet][08-25 19:55:30]INFO: Train|Epoch34/300|Iter3300(1)| mem:0G| lr:7.00e-02| loss_qfl:0.9930| loss_bbox:0.7500| loss_dfl:0.2971| aux_loss_qfl:0.2719| aux_loss_bbox:1.2707| aux_loss_dfl:0.4054| loss_feat_kd:17.2651| loss_cls_kd:0.0000| loss_reg_kd:0.0846| 
[NanoDet][08-25 19:55:35]INFO: Train|Epoch34/300|Iter3350(51)| mem:0G| lr:7.00e-02| loss_qfl:1.0068| loss_bbox:0.7359| loss_dfl:0.3423| aux_loss_qfl:0.6674| aux_loss_bbox:1.0202| aux_loss_dfl:0.4004| loss_feat_kd:16.2747| loss_cls_kd:0.0000| loss_reg_kd:0.0858| 
[NanoDet][08-25 19:55:41]INFO: Train|Epoch35/300|Iter3400(1)| mem:0G| lr:7.00e-02| loss_qfl:0.7161| loss_bbox:0.8977| loss_dfl:0.3277| aux_loss_qfl:0.6429| aux_loss_bbox:1.1302| aux_loss_dfl:0.4028| loss_feat_kd:13.5885| loss_cls_kd:0.0000| loss_reg_kd:0.0741| 
